date,short__D_eff_entropy_63,short__g_barrier_63,short__sigma_realized_21,short__calm_21,short__Eproxy_bond_rally_63d,short__Eproxy_credit_risk_on_spread,short__Eproxy_usd_weakness_63d,short__E_control,short__phi_ineff,short__SML_E_over_D,short__decreasing_returns,short__T_tension,mid__D_eff_entropy_252,mid__g_barrier_252,mid__sigma_realized_63,mid__calm_63,mid__Eproxy_bond_rally_63d,mid__Eproxy_credit_risk_on_spread,mid__Eproxy_usd_weakness_63d,mid__E_control,mid__phi_ineff,mid__SML_E_over_D,mid__decreasing_returns,mid__T_tension,long__D_eff_entropy_756,long__g_barrier_756,long__sigma_realized_126,long__calm_126,long__Eproxy_bond_rally_63d,long__Eproxy_credit_risk_on_spread,long__Eproxy_usd_weakness_63d,long__E_control,long__phi_ineff,long__SML_E_over_D,long__decreasing_returns,long__T_tension,mem_30d__mem__p_fail,mem_30d__mem__avg_fwd_ret,mem_30d__mem__avg_fwd_dd,mem_30d__mem__mean_dist,mem_30d__mem__min_dist,mem_30d__mem__recurrence,T_comp_pct,asset__mean_corr_63,asset__mean_corr_63_pct,GFL,GFL_pct,M_fin_raw,M_fin_pct
2016-01-07,,,0.2157747196257202,4.634462996360072,,-0.5526615721463521,,,,,,,,,,,,-0.5526615721463521,,,,,,,,,,,,-0.5526615721463521,,,,,,,,,,,,,,,,,,,
2016-01-08,7.104940016447271,0.1638017729359977,0.2159668942791046,4.630339094492233,0.0176806105847813,-0.5559523328673741,-0.028505492997926,,,,,,,,0.1905392295176614,5.248262785825321,0.0176806105847813,-0.5559523328673741,-0.028505492997926,,,,,,,,,,0.0176806105847813,-0.5559523328673741,-0.028505492997926,,,,,,,,,,,,,0.2534743445436062,,,,,
2016-01-11,7.160383400097649,0.16232755876215,0.2166106765078501,4.616577400320271,0.0040891050198128,-0.5544743884350041,-0.0380093259669842,,,,,,,,0.1916522500729568,5.217783498192649,0.0040891050198128,-0.5544743884350041,-0.0380093259669842,,,,,,,,,,0.0040891050198128,-0.5544743884350041,-0.0380093259669842,,,,,,,,,,,,,0.2520720331665189,,,,,
2016-01-12,7.216316297834649,0.1608669749864021,0.2177072225467551,4.593324660379569,0.0108557898794714,-0.5556132772069984,-0.0403567700410567,,,,,,,,0.1919352095384322,5.210091208923564,0.0108557898794714,-0.5556132772069984,-0.0403567700410567,,,,,,,,,,0.0108557898794714,-0.5556132772069984,-0.0403567700410567,,,,,,,,,,,,,0.2532600780208657,,,,,
2016-01-13,7.135405509878358,0.1629884115662865,0.2144810525974703,4.662416289296183,0.0189413630705876,-0.5698313840989533,-0.0404335695784907,,,,,,,,0.1947543678142372,5.134672766913773,0.0189413630705876,-0.5698313840989533,-0.0404335695784907,,,,,,,,,,0.0189413630705876,-0.5698313840989533,-0.0404335695784907,,,,,,,,,,,,,0.2504750355769297,,,,,
2016-01-14,7.071463295122714,0.1647049401017154,0.2185306871623525,4.576016152353516,0.0008469193815567,-0.5602908623726712,-0.051513534450108,,,,,,,,0.1962061934520892,5.096678812421879,0.0008469193815567,-0.5602908623726712,-0.051513534450108,,,,,,,,,,0.0008469193815567,-0.5602908623726712,-0.051513534450108,,,,,,,,,,,,,0.2493818706589522,,,,,
2016-01-15,6.90264808067693,0.1694154868523286,0.2255840269252269,4.432937780661601,0.0212706766393875,-0.5720110442358415,-0.042843296615588,,,,,,,,0.1987520797916497,5.031393637411775,0.0212706766393875,-0.5720110442358415,-0.042843296615588,,,,,,,,,,0.0212706766393875,-0.5720110442358415,-0.042843296615588,,,,,,,,,,,,,0.249847937394508,,,,,
2016-01-19,6.9592377421821086,0.167806696357068,0.2162095494421068,4.62514239694274,0.0178208965701118,-0.5710671831089935,-0.0432474140939187,,,,,,,,0.1991607271645817,5.021069987171336,0.0178208965701118,-0.5710671831089935,-0.0432474140939187,,,,,,,,,,0.0178208965701118,-0.5710671831089935,-0.0432474140939187,,,,,,,,,,,,,0.2475376796571134,,,,,
2016-01-20,6.8936190420582735,0.1696750317872619,0.2178082346583805,4.5911944314524975,0.0310916757370618,-0.5793432393539035,-0.0408026238725969,,,,,,,,0.2012856743173018,4.968063195312113,0.0310916757370618,-0.5793432393539035,-0.0408026238725969,,,,,,,,,,0.0310916757370618,-0.5793432393539035,-0.0408026238725969,,,,,,,,,,,,,0.2461097946990118,,,,,
2016-01-21,6.887448418807195,0.1698528678581735,0.2171455121296851,4.60520663835183,0.0303421976337414,-0.5697085711541976,-0.0403567700410567,,,,,,,,0.2022302093161233,4.9448593953053805,0.0303421976337414,-0.5697085711541976,-0.0403567700410567,,,,,,,,,,0.0303421976337414,-0.5697085711541976,-0.0403567700410567,,,,,,,,,,,,,0.2450996883924405,,,,,
2016-01-22,6.550292991880562,0.1801706684063666,0.2365618568970458,4.22722399479207,0.0166547541018342,-0.5551482624422688,-0.0444938509986267,,,,,,,,0.2093643587811666,4.776361927397625,0.0166547541018342,-0.5551482624422688,-0.0444938509986267,,,,,,,,,,0.0166547541018342,-0.5551482624422688,-0.0444938509986267,,,,,,,,,,,,,0.2565913989211029,,,,,
2016-01-25,6.481373803613249,0.1824360158609239,0.237581767031884,4.209077028099666,0.0203767159462406,-0.5639841629403537,-0.0272958122754012,,,,,,,,0.2087770846877611,4.789797470338214,0.0203767159462406,-0.5639841629403537,-0.0272958122754012,,,,,,,,,,0.0203767159462406,-0.5639841629403537,-0.0272958122754012,,,,,,,,,,,,,0.2537559562416672,,,,,
2016-01-26,6.3638293323858,0.1864339702417165,0.2386785876581312,4.18973468845472,0.0294216402883922,-0.5579525602750763,-0.0168859546915252,,,,,,,,0.2105999055581593,4.748339985558256,0.0294216402883922,-0.5579525602750763,-0.0168859546915252,,,,,,,,,,0.0294216402883922,-0.5579525602750763,-0.0168859546915252,,,,,,,,,,,,,0.2672735612174259,,,,,
2016-01-27,6.399209094552701,0.1852123117729935,0.2397392629761731,4.17119810027699,0.0226004258562717,-0.5567452827003518,-0.0192720418245664,,,,,,,,0.2110012835675772,4.739307437846255,0.0226004258562717,-0.5567452827003518,-0.0192720418245664,,,,,,,,,,0.0226004258562717,-0.5567452827003518,-0.0192720418245664,,,,,,,,,,,,,0.2660643811668465,,,,,
2016-01-28,6.456888024028042,0.1832546304348199,0.2430344702686661,4.114642493915,0.0214024115626632,-0.5526927898693175,-0.0136569111062159,,,,,,,,0.2123345263694403,4.709549454828689,0.0214024115626632,-0.5526927898693175,-0.0136569111062159,,,,,,,,,,0.0214024115626632,-0.5526927898693175,-0.0136569111062159,,,,,,,,,,,,,0.264931667150956,,,,,
2016-01-29,6.324241897237771,0.1878201662175793,0.2552299987751688,3.918034579079987,0.0339157480541851,-0.5546520862282387,-0.0158659417763176,,,,,,,,0.2156991531582045,4.6360866002366,0.0339157480541851,-0.5546520862282387,-0.0158659417763176,,,,,,,,,,0.0339157480541851,-0.5546520862282387,-0.0158659417763176,,,,,,,,,,,,,0.2828875502384225,,,,,
2016-02-01,6.379573334493809,0.1858883476369992,0.2561801069516241,3.903503565769843,0.0469232315329621,-0.5574610790647103,-0.0136056520557787,,,,,,,,0.2160764121431461,4.627992217205082,0.0469232315329621,-0.5574610790647103,-0.0136056520557787,,,,,,,,,,0.0469232315329621,-0.5574610790647103,-0.0136056520557787,,,,,,,,,,,,,0.2792042684026274,,,,,
2016-02-02,6.227186053225873,0.1913075195534299,0.2624760912992187,3.8098706703206298,0.0577906118224644,-0.566559510188752,-0.0164516048920053,,,,,,,,0.2192228090221802,4.56156893000643,0.0577906118224644,-0.566559510188752,-0.0164516048920053,,,,,,,,,,0.0577906118224644,-0.566559510188752,-0.0164516048920053,,,,,,,,,,,,,0.2774594678301356,,,,,
2016-02-03,6.284467703041342,0.1892338177281577,0.2669025347687637,3.746685895656671,0.0540728994911754,-0.5589993031122478,-0.0,,,,,,,,0.2214124411995653,4.516457835059472,0.0540728994911754,-0.5589993031122478,-0.0,,,,,,,,,,0.0540728994911754,-0.5589993031122478,-0.0,,,,,,,,,,,,,0.2833479369050626,,,,,
2016-02-04,6.311710814862301,0.1882632607406529,0.2665650238113228,3.751429756941824,0.0672000473821166,-0.5627333149606981,0.0095057749997007,,,,,,,,0.2211041890113298,4.522754450035379,0.0672000473821166,-0.5627333149606981,0.0095057749997007,,,,,,,,,,0.0672000473821166,-0.5627333149606981,0.0095057749997007,,,,,,,,,,,,,0.2849551475538053,,,,,
2016-02-05,6.315298530079961,0.1881361869816923,0.2674945949677115,3.738393154212239,0.0671223704739549,-0.5702129806524954,0.0132264563959174,,,,,,,,0.222521423222184,4.4939491244491325,0.0671223704739549,-0.5702129806524954,0.0132264563959174,,,,,,,,,,0.0671223704739549,-0.5702129806524954,0.0132264563959174,,,,,,,,,,,,,0.2848499954771217,,,,,
2016-02-08,6.245230577847281,0.1906493877155579,0.2629464887565077,3.8030550120616535,0.0911517569876609,-0.5872226145150137,0.0165449295151081,,,,,,,,0.225193066764271,4.440633852375426,0.0911517569876609,-0.5872226145150137,0.0165449295151081,,,,,,,,,,0.0911517569876609,-0.5872226145150137,0.0165449295151081,,,,,,,,,,,,,0.2798664989077397,,,,,
2016-02-09,6.2025227600144905,0.1922144398413108,0.2624605071113066,3.810096890024457,0.1069512895069095,-0.587540541346852,0.0353727045571079,,,,,,,,0.2241091354694759,4.462111521174855,0.1069512895069095,-0.587540541346852,0.0353727045571079,,,,,,,,,,0.1069512895069095,-0.587540541346852,0.0353727045571079,,,,,,,,,,,,,0.2748992618842997,,,,,
2016-02-10,6.259937421477377,0.1901163299045415,0.2597085640647423,3.8504697182262135,0.121310028176687,-0.590322144493471,0.0354395698583211,,,,,,,,0.2232855807715526,4.478569335999461,0.121310028176687,-0.590322144493471,0.0354395698583211,,,,,,,,,,0.121310028176687,-0.590322144493471,0.0354395698583211,,,,,,,,,,,,,0.2731623346159926,,,,,
