portfolio,model,var5,var1,cvar5,probability_drawdown_10pct
random_dirichlet_06,historical_bootstrap_train,-0.12438729302767795,-0.16420097876574194,-0.16060798677943586,0.38461538461538464
random_dirichlet_06,gaussian_cov_train,-0.1360118647699728,-0.1767277623465192,-0.16148849681907246,0.38461538461538464
random_dirichlet_06,t_copula_train,-0.16469833720771904,-0.21413163164530627,-0.1976391810615473,0.5256410256410257
random_dirichlet_06,filtered_historical_simulation_train,-0.1613721570465316,-0.19367199204669341,-0.18461493253500846,0.44871794871794873
random_dirichlet_06,gaussian_factor_same_calibration_stack,-0.17704427254858607,-0.22026296422479746,-0.20810359477453627,0.34615384615384615
random_dirichlet_06,factor_ddpm_stress_uncalibrated,-0.2543154793222258,-0.3503490076512279,-0.3285514955964512,0.7051282051282052
random_dirichlet_06,factor_ddpm_base_uncalibrated,-0.2004870931999021,-0.22324292822810327,-0.2168548506605113,0.6025641025641025
random_dirichlet_07,factor_ddpm_stress,-0.26469135125853055,-0.3560982907852614,-0.3355341128273579,0.7051282051282052
random_dirichlet_07,factor_ddpm_base,-0.21461037021144957,-0.22472065288148926,-0.2212114108992282,0.6282051282051282
random_dirichlet_07,historical_bootstrap_train,-0.12619914941756907,-0.16835132666019864,-0.15860491257041148,0.3717948717948718
random_dirichlet_07,gaussian_cov_train,-0.13900435664714325,-0.1758902079239195,-0.16425455499822053,0.38461538461538464
random_dirichlet_07,t_copula_train,-0.16702568824012604,-0.2154783363370388,-0.1984266549735559,0.5384615384615384
random_dirichlet_07,filtered_historical_simulation_train,-0.16438914497490978,-0.19549973009122465,-0.19080157477267357,0.41025641025641024
random_dirichlet_07,gaussian_factor_same_calibration_stack,-0.16666356180343903,-0.2274198931594232,-0.21179486588678686,0.34615384615384615
random_dirichlet_07,factor_ddpm_stress_uncalibrated,-0.2450415318955466,-0.3119712115776388,-0.2939615505968712,0.6666666666666666
random_dirichlet_07,factor_ddpm_base_uncalibrated,-0.1921356673295685,-0.19671609886864705,-0.19550449209009818,0.5641025641025641
random_dirichlet_08,factor_ddpm_stress,-0.26880865070557436,-0.3875605266657612,-0.36017525030479125,0.7307692307692307
random_dirichlet_08,factor_ddpm_base,-0.22648196250882746,-0.25552588555384753,-0.24457108691506071,0.6666666666666666
random_dirichlet_08,historical_bootstrap_train,-0.11766334725117505,-0.1620787187540979,-0.15494820207009397,0.3974358974358974
